id,name,price,rate,description,link_product
0,Smart Tivi Samsung QLED 4K Vision AI 75 inch QA75Q8FA,"31,990,000đ",5.0,"{'Công nghệ hình ảnh': 'Công nghệ Quantum Dot, Công nghệ Quantum HDR+, Công nghệ đèn nền Dual LED, Công nghệ Motion Xcelerator, Công nghệ Supreme UHD Dimming, Công nghệ Color Booster Pro, AI Generative Wallpaper, EyeComfort, Smart Calibration', 'Tần số quét thực': '50 Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '75""', 'Khoảng kích thước màn hình': '75 inch trở lên', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Bluetooth 5.3', 'Cổng LAN': 'Có', 'Wifi': 'Có', 'Hệ điều hành': 'Tizen OS', 'Remote thông minh': 'Điều khiển One Remote Control tích hợp Solar Cell Remote', 'Điều khiển tivi bằng điện thoại': 'SmartThings'}",https://hc.com.vn/ords/product/tivi-samsung-qa75q8fa
1,Smart Tivi Samsung 4K 55 inch UA55U8500F,"13,490,000đ",4.9,"{'Công nghệ hình ảnh': 'HDR, HDR 10+, UHD Dimming, Motion Xcelerator, 4K Upscaling, Filmmaker Mode, Mega Contrast', 'Tần số quét thực': '50Hz', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '55""', 'Khoảng kích thước màn hình': 'Từ 55 - 64 inch', 'Công nghệ màn hình': 'LED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'BT5.3', 'Cổng LAN': 'Có', 'Wifi': 'Wi-Fi 5', 'Cổng HDMI': '3 cổng', 'Cổng USB': '1 cổng', 'Hệ điều hành': 'Tizen™ Smart TV', 'Điều khiển tivi bằng điện thoại': 'AirPlay'}",https://hc.com.vn/ords/product/tivi-samsung-ua55u8500f
2,Smart Tivi Khung Tranh The Frame QLED Samsung 4K 75 inch QA75LS03D,"34,490,000đ",4.9,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, Dual LED, Wide Viewing Angle, Supreme UHD Dimming, Real Depth Enhancer, Motion Xcelerator 120Hz, Smart Calibration, Picture Upscale, Filmmaker Mode', 'Tần số quét thực': '100Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '75""', 'Khoảng kích thước màn hình': '75 inch trở lên', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'BT5.2', 'Cổng LAN': 'Có', 'Wifi': 'Wi-Fi 5', 'Cổng HDMI': '4 cổng HDMI', 'Cổng USB': '2 cổng USB A', 'Hệ điều hành': 'Tizen™ Smart TV'}",https://hc.com.vn/ords/product/tivi-samsung-qa75ls03d
3,Smart Tivi Samsung 4K 65 inch UA65U8500F,"16,490,000đ",4.8,"{'Công nghệ hình ảnh': 'HDR, HDR 10+, UHD Dimming, Motion Xcelerator, 4K Upscaling, Filmmaker Mode, Mega Contrast', 'Tần số quét thực': '50Hz', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '65""', 'Khoảng kích thước màn hình': 'Từ 65 - 74 inch', 'Công nghệ màn hình': 'LED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'BT5.3', 'Cổng LAN': 'Có', 'Wifi': 'Wi-Fi 5', 'Cổng HDMI': '3 cổng', 'Cổng USB': '1 cổng', 'Hệ điều hành': 'Tizen™ Smart TV', 'Điều khiển tivi bằng điện thoại': 'AirPlay'}",https://hc.com.vn/ords/product/tivi-samsung-ua65u8500f
4,Samsung Smart AI Tivi Mini LED 4K 55 inch QA55QN85D,"18,990,000đ",5.0,"{'Công nghệ hình ảnh': 'NQ4 AI Gen2 Processor | HDR 10+ (Adaptive/Gaming) | Neo Quantum HDR | 4K AI Upscaling | Wide Viewing Angle | Real Depth Enhancer | Quantum MatrixTechnology | Supreme UHD Dimming | Motion Xcelerator 120Hz | Smart Calibration (Basic) | Filmmaker Mode | Auto HDR Remastering | HDR Brightness Optimizer', 'Tần số quét thực': '100Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '55""', 'Khoảng kích thước màn hình': 'Từ 55 - 64 inch', 'Công nghệ màn hình': 'Mini LED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có (BT5.2)', 'Cổng LAN': 'Có', 'Wifi': 'Có (Wi-Fi 5)', 'Cổng HDMI': '4 cổng', 'Cổng xuất âm thanh': 'Cổng Optical (Digital Audio Out)', 'Cổng USB': '2 x USB-A'}",https://hc.com.vn/ords/product/tivi-samsung-qa55qn85d
5,Smart Tivi Samsung QLED Vision AI 4K 85 inch QA85Q7FA,"39,990,000đ",4.9,"{'Công nghệ hình ảnh': 'Công nghệ Quantum Dot / Công nghệ Quantum HDR+ / Công nghệ Motion Xcelerator / Công nghệ Supreme UHD Dimming / Công nghệ Mega Contrast / Công nghệ Color Booster Pro / AI Generative Wallpaper / Smart Calibration', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Kích thước màn hình': ""85''"", 'Khoảng kích thước màn hình': '75 inch trở lên', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Cổng HDMI': '3 cổng', 'Cổng USB': '1 cổng', 'Hệ điều hành': 'Tizen™ Smart TV', 'Các ứng dụng sẵn có': 'YouTube / Netflix / FPT Play / TV 360 / VieON', 'Remote thông minh': 'Có remote thông minh', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor', 'Công nghệ âm thanh': 'Object Tracking Sound (OTS Lite) / Adaptive Sound / Q-symphony', 'Tổng công suất loa': '10Wx2'}",https://hc.com.vn/ords/product/tivi-samsung-qa85q7fa
6,Smart Tivi Samsung QLED Vision AI 4K 65 inch QA65Q7FA,"17,490,000đ",4.8,"{'Công nghệ hình ảnh': 'Công nghệ Quantum Dot / Công nghệ Quantum HDR+ / Công nghệ Motion Xcelerator / Công nghệ Supreme UHD Dimming / Công nghệ Mega Contrast / Công nghệ Color Booster Pro / AI Generative Wallpaper / Smart Calibration', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': ""65''"", 'Khoảng kích thước màn hình': 'Từ 65 - 74 inch', 'Công nghệ màn hình': 'QLED', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Cổng HDMI': '3 cổng', 'Cổng USB': '1 cổng', 'Hệ điều hành': 'Tizen™ Smart TV', 'Các ứng dụng sẵn có': 'YouTube / Netflix / FPT Play / TV 360 / VieON', 'Remote thông minh': 'Có remote thông minh', 'Bộ xử lý': 'Bộ xử lý Q4 AI Processor'}",https://hc.com.vn/ords/product/tivi-samsung-qa65q7fa
7,Smart Tivi QLED Samsung 4K 65 inch QA65Q60D,"14,490,000đ",4.9,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, Quantum Processor Lite 4K, Motion Xcelerator, Filmmaker Mode, Supreme UHD Dimming, 4K Upscaling', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '65""', 'Khoảng kích thước màn hình': 'Từ 65 - 74 inch', 'Công nghệ màn hình': 'QLED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'Có', 'Wifi': 'Có', 'Hệ điều hành': 'Tizen™ Smart TV', 'Các ứng dụng sẵn có': 'YouTube, Netflix, Galaxy Play (Fim+), Clip TV, FPT Play, MyTV, POPS Kids, VieON, MP3 Zing, Spotify, Trình duyệt web', 'Điều khiển tivi bằng điện thoại': 'SmartThings', 'Công nghệ âm thanh': 'Object Tracking Sound, Q-Symphony, Adaptive Sound', 'Tổng công suất loa': '20W'}",https://hc.com.vn/ords/product/tivi-samsung-qa65q60d
8,Smart Tivi Samsung 4K 75 inch UA75DU8000,"17,490,000đ",4.9,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, AI HDR Remastering, Mega Contrast, UHD Dimming, Contrast Enhancer, Motion Xcelerator, 4K Upscaling, Filmmaker Mode', 'Tần số quét thực': '50Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '75""', 'Khoảng kích thước màn hình': '75 inch trở lên', 'Công nghệ màn hình': 'LED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'BT5.2', 'Cổng LAN': 'Có', 'Wifi': 'Wi-Fi 5', 'Cổng HDMI': '3 cổng có 1 cổng HDMI eARC (ARC)', 'Cổng USB': '2 cổng USB A', 'Hệ điều hành': 'Tizen™'}",https://hc.com.vn/ords/product/tivi-samsung-ua75du8000
9,Smart Tivi Samsung 4K 65 inch UA65DU8000,"13,490,000đ",4.8,"{'Công nghệ hình ảnh': 'HDR (High Dynamic Range), HDR 10+, AI HDR Remastering, Mega Contrast, UHD Dimming, Contrast Enhancer, Motion Xcelerator, 4K Upscaling, Filmmaker Mode', 'Tần số quét thực': '50Hz', 'Xuất xứ': 'Việt Nam', 'Bảo hành': '2 năm', 'Loại Tivi': 'Smart Tivi', 'Kích thước màn hình': '65""', 'Khoảng kích thước màn hình': 'Từ 65 - 74 inch', 'Công nghệ màn hình': 'LED', 'Độ phân giải': 'Ultra HD 4K (3840 x 2160 Pixel)', 'Bluetooth': 'BT5.2', 'Cổng LAN': 'Có', 'Wifi': 'Wi-Fi 5', 'Cổng HDMI': '3 cổng có 1 cổng HDMI eARC (ARC)', 'Cổng USB': '2 cổng USB A', 'Hệ điều hành': 'Tizen™'}",https://hc.com.vn/ords/product/tivi-samsung-ua65du8000
