id,name,price,rate,link_product,Loại Tivi,Kích thước màn hình,Độ phân giải,Nguồn điện áp,Công suất,Công nghệ hình ảnh,Công nghệ âm thanh,Kết nối,Cổng HDMI,Cổng xuất âm thanh,USB,Bộ xử lý,Công suất loa,Tích hợp đầu thu KTS,Hệ điều hành,Tiện ích,Kích thước có chân đế,Kích thước không chân đế,Trọng lượng có chân đế,Trọng lượng không chân đế,Trọng lượng bao bì,Năm ra mắt,Sản xuất tại,Xuất xứ thương hiệu,Bảo hành,Bluetooth,Tần số quét,Kích thước đóng gói,Vesa,Màu sắc,Cảm biến Eco,Khoảng cách xem,Remote thông minh,Cổng AV,Phụ kiện
0,Smart TV QLED 4K Samsung 55 inch QA55Q60DAKXXV,11.490.000,"4,6",https://meta.vn/tivi-samsung-qa55q60dakxxv-p101469,QLED,55 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (150W),"4K Upscaling, Dual LED, FilmMaker Mode, HDR, HDR 10+, HLG, Motion Xcelerator, Quantum Processor Lite 4K, Smart Calibration Basic, Supreme UHD Dimming","Adaptive Sound, Bluetooth Audio, Buds Auto Switch, OTS Lite, Q-Symphony","Bluetooth, LAN, Wifi",3 cổng,Optical (Digital Audio Out),2 cổng,Quantum Processor Lite 4K,20W,DVB-T2,Tizen,"Chiếu màn hình điện thoại lên tivi, Điều khiển TV bằng điện thoại, Multi View chia nhỏ màn hình tivi, Tìm kiếm bằng giọng nói",123.21cm x 77.38cm x 24.91cm (Ngang x cao x dày),123.21cm x 70.83cm x 2.57cm (Ngang x cao x dày),"16,3kg","15,5kg","22,5kg",2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,,,,,,,,,,
1,Smart TV QLED 4K Samsung 75 inch QA75Q60DAKXXV,19.490.000,"4,0",https://meta.vn/tivi-samsung-qa75q60dakxxv-p101462,QLED,75 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (235W),"100% Color Volume with Quantum Dot, 4K Upscaling, Auto Low Latency Mode (ALLM), Dual LED, FilmMaker Mode, FilmMaker Mode, Game Bar, HDR 10+, Màu sắc chuẩn chứng nhận PANTONE, Motion Xcelerator, Quantum HDR, Smart Calibration Basic, Supreme UHD Dimming","Adaptive Sound, Bluetooth Audio, OTS Lite, Q-Symphony","LAN, Wifi",3 cổng,"Cổng Optical, eARC (ARC)",2 cổng,Quantum Lite 4K,20W,,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Trợ lý ảo Bixby",167.67cm x 102.65cm x 33.89cm (Ngang x cao x dày),167.67cm x 95.98cm x 2.66cm (Ngang x cao x dày),"32,7kg","31,4kg",43kg,2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,50Hz,183.4cm x 113.8cm x 19cm (Ngang x cao x dày),,,,,,,
2,Smart TV QLED 4K Samsung 50 inch QA50Q60DAKXXV,10.590.000,"4,5",https://meta.vn/tivi-samsung-qa50q60dakxxv-p101472,QLED,50 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (145W),"4K Upscaling, Dual LED, FilmMaker Mode, HDR, HDR 10+, HLG, Motion Xcelerator, Quantum Processor Lite 4K, Smart Calibration Basic, Supreme UHD Dimming","Adaptive Sound, Bluetooth Audio, Buds Auto Switch, OTS Lite, Q-Symphony","Bluetooth, LAN, Wifi",3 cổng,Optical (Digital Audio Out),2 cổng,Quantum Processor Lite 4K,20W,DVB-T2,Tizen,"Chiếu màn hình điện thoại lên tivi, Điều khiển TV bằng điện thoại, Multi View chia nhỏ màn hình tivi, Tìm kiếm bằng giọng nói",111.83cm x 70.94cm x 19.91cm (Ngang x cao x dày),111.83cm x 64.41cm x 2.57cm (Ngang x cao x dày),"12,2kg","11,5kg","16,4kg",2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,,,,,,,,,,
3,Smart TV QLED 4K Samsung 43 inch QA43Q60DAKXXV,8.990.000,"4,8",https://meta.vn/tivi-samsung-qa43q60dakxxv-p101470,QLED,43 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (130W),"100% Color Volume with Quantum Dot, 4K Upscaling, Auto Low Latency Mode (ALLM), Dual LED, FilmMaker Mode, FilmMaker Mode, HDR 10+, Màu sắc chuẩn chứng nhận PANTONE, Motion Xcelerator, Quantum HDR, Smart Calibration Basic, Supreme UHD Dimming","Adaptive Sound, Bluetooth Audio, OTS Lite, Q-Symphony","LAN, Wifi",3 cổng,"Cổng Optical, eARC (ARC)",2 cổng,Quantum Lite 4K,20W,,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Điều khiển TV bằng điện thoại, Tìm kiếm bằng giọng nói",96.55cm x 62.37cm x 18.76cm (Ngang x cao x dày),96.55cm x 55.94cm x 2.57cm (Ngang x cao x dày),9kg,"8,4kg","12,2kg",2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,50Hz,109.3cm x 67.7cm x 12.9cm (Ngang x cao x dày),,,,,,,
4,Smart TV QLED 4K Samsung 65 inch QA65Q60DAKXXV,14.490.000,"4,8",https://meta.vn/tivi-samsung-qa65q60dakxxv-p101465,QLED,65 inch,4K,100V - 240V/50Hz - 60Hz,Tiêu thụ nguồn tối đa (175W),"100% Color Volume with Quantum Dot, 4K Upscaling, Auto Low Latency Mode (ALLM), Dual LED, FilmMaker Mode, FilmMaker Mode, Game Bar, HDR 10+, Màu sắc chuẩn chứng nhận PANTONE, Motion Xcelerator, Quantum HDR, Smart Calibration Basic, Supreme UHD Dimming","Adaptive Sound, Bluetooth Audio, OTS Lite, Q-Symphony","LAN, Wifi",3 cổng,"Cổng Optical, eARC (ARC)",2 cổng,Quantum Lite 4K,20W,DVB-T2,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Tìm kiếm bằng giọng nói, Trợ lý ảo Bixby",145.09cm x 89.71cm x 29.02cm (Ngang x cao x dày),145.09cm x 83.14cm x 2.57cm (Ngang x cao x dày),"21,8kg","20,9kg","28,8kg",2024,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.2,50Hz,161.2cm x 95cm x 16.4cm (Ngang x cao x dày),400mm x 300mm,,,,,,
5,Smart Tivi khung tranh 4K QLED 65 inch Samsung The Frame QA65LS03FAKXXV,32.990.000,"4,6",https://meta.vn/tivi-samsung-qa65ls03fakxxv-p110796,QLED,65 inch,4K,100V - 240V/50Hz - 60Hz,Mức tiêu thụ nguồn tối đa (215W),"4K AI Upscaling, AI Auto Game Mode, Auto HDR Remastering, Auto Low Latency Mode (ALLM), Color Booster Pro, Dual LED, Dynamic Black EQ, EyeComfort, FilmMaker Mode, FreeSync Premium, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Motion Xcelerator 144Hz, Quantum HDR, Real Depth Enhancer, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming, VRR, Wide Viewing Angle","360 Audio, Adaptive Sound Pro, Dolby Atmos, Object Tracking Sound (OTS), Q-Symphony, Surround Sound","Bluetooth, LAN, Wifi",4 cổng,"Cổng Optical, eARC",3 cổng,AI NQ4 thế hệ 2,40W,,Tizen,"Chiếu màn hình điện thoại lên tivi, Điều khiển bằng giọng nói, Multi View chia nhỏ màn hình tivi",145.68cm x 86.89cm x 26.09cm (Ngang x cao x dày),145.68cm x 83.19cm x 2.49cm (Ngang x cao x dày),"22,8kg","22,4kg",34.5kg,2025,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.3,100Hz,161.4cm x 95cm x 19.1cm (Ngang x cao x dày),,Đen,Có,,,,
6,Smart TV QLED 4K Samsung 65 inch QA65Q8FAAKXXV,17.990.000,"4,6",https://meta.vn/tivi-samsung-qa65q8faakxxv-p112117,QLED,65 inch,4K,100V - 240V/50Hz - 60Hz,Mức tiêu thụ nguồn tối đa (250W),"4K Upscaling, AI Auto Game Mode, Auto Low Latency Mode (ALLM), Color Booster Pro, Dual LED, EyeComfort, FilmMaker Mode, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Motion Xcelerator, Quantum HDR+, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming","Active Voice Amplifier, Adaptive Sound+, OTS Lite, Q-Symphony",,3 cổng,"Cổng Optical, eARC (ARC)",2 cổng,AI Q4,20W,,Tizen,"Chiếu màn hình điện thoại lên tivi, Multi View chia nhỏ màn hình tivi, Trợ lý ảo Bixby",145.09cm x 89cm x 27.04cm (Ngang x cao x dày),145.09cm x 83.18cm x 2.57cm (Ngang x cao x dày),"21,2kg","20,7kg","28,2kg",2025,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,,50Hz,159.7cm x 93.3cm x 14.8cm (Ngang x cao x dày),,Đen,,,,,
7,Smart AI Tivi Samsung Neo QLED 4K 100 inch QA100QN80FKXXV,121.990.000,"4,0",https://meta.vn/smart-ai-tivi-samsung-neo-qled-4k-qa100qn80fkxxv-p111809,QLED,100 inch,4K,220V - 240V/50Hz - 60Hz,,"4K AI Upscaling, AI Auto Game Mode, AI Generative Wallpaper, Auto Game Mode (ALLM), Auto HDR Remastering, Color Booster Pro, Dynamic Black EQ, EyeComfort, FilmMaker Mode, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, Motion Xcelerator 144Hz, Neo Quantum HDR, Quantum Matrix Technology Core, Real Depth Enhancer, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming, Wide Viewing Angle","Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, Object Tracking Sound, Q-symphony Next","Bluetooth, LAN, Wifi",4 cổng,,2 cổng,Bộ xử lý AI NQ4 2.0,30W,DVB-T2C,Tizen OS,"Chiếu màn hình điện thoại lên tivi, Điều khiển bằng giọng nói, Điều khiển TV bằng điện thoại",222.98cm x 133.24cm x 41.54cm (Ngang x cao x dày),222.98cm x 127.34cm x 5.74cm (Ngang x cao x dày),60.3kg,58.9kg,,,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,Bluetooth 5.3,100Hz,,600mm x 400mm,,,5m - 6m,,,
8,Smart tivi Samsung Neo QLED Vision AI 4K 85 inch QA85QN85FAKXXV,85.990.000,"5,0",https://meta.vn/tivi-samsung-qa85qn85fakxxv-p111189,QLED,85 inch,4K,100V - 240V/50Hz - 60Hz,Mức tiêu thụ nguồn tối đa (350W),"4K AI Upscaling, AI Auto Game Mode, Auto Game Mode (ALLM), Auto HDR Remastering, Color Booster Pro, Dynamic Black EQ, EyeComfort, FilmMaker Mode, FreeSync Premium Pro, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Motion Xcelerator 144Hz, Neo Quantum HDR+, Quantum Matrix Technology Plus, Real Depth Enhancer, Smart Calibration Basic, Super Ultra Wide Game View, Supersize Picture Enhancer, Supreme UHD Dimming, VRR, Wide Viewing Angle","360 Audio, Active Voice Amplifier Pro, Adaptive Sound Pro, Dolby Atmos, OTS Lite, Q-Symphony, Surround Sound","Bluetooth, LAN, Wifi",4 cổng,"Cổng Optical, eARC",2 cổng,AI NQ4 thế hệ 2,40W,,Tizen,"Apple AirPlay, Chiếu màn hình điện thoại lên tivi, Điều khiển bằng giọng nói, Multi View chia nhỏ màn hình tivi",189.24cm x 113.74cm x 36.65cm (Ngang x cao x dày),189.24cm x 108.29cm x 4.7cm (Ngang x cao x dày),"43,6kg","41,6kg","55,6kg",2025,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.3,100Hz,205.6cm x 120cm x 17.8cm (Ngang x cao x dày),,Đen,Có,,,,
9,Smart Tivi khung tranh 4K QLED 75 inch Samsung The Frame QA75LS03FAKXXV,41.990.000,"4,4",https://meta.vn/tivi-samsung-qa75ls03fakxxv-p110807,QLED,75 inch,4K,100V - 240V/50Hz - 60Hz,Mức tiêu thụ nguồn tối đa (290W),"4K AI Upscaling, AI Auto Game Mode, Auto HDR Remastering, Auto Low Latency Mode (ALLM), Color Booster Pro, Dual LED, Dynamic Black EQ, EyeComfort, FilmMaker Mode, FreeSync Premium, Game Motion Plus, HDR 10+, HDR Brightness Optimizer, HGiG, Motion Xcelerator 144Hz, Quantum HDR, Real Depth Enhancer, Smart Calibration Basic, Super Ultra Wide Game View, Supreme UHD Dimming, VRR, Wide Viewing Angle","360 Audio, Adaptive Sound Pro, Dolby Atmos, Object Tracking Sound (OTS), Q-Symphony, Surround Sound","Bluetooth, LAN, Wifi",4 cổng,"Cổng Optical, eARC",3 cổng,Quantum 4K,40W,,Tizen,"Chiếu màn hình điện thoại lên tivi, Multi View chia nhỏ màn hình tivi",168.23cm x 99.85cm x 31.58cm (Ngang x cao x dày),168.23cm x 96.04cm x 2.69cm (Ngang x cao x dày),"35,9kg","35,3kg",50kg,2025,Việt Nam,Hàn Quốc,24 tháng theo chính sách Hãng,v5.3,100Hz,183.9cm x 111.3cm x 20.7cm (Ngang x cao x dày),,Đen,Có,,,,
